id,common_name,vietnamese_name,scientific_name,bird_order,family,description,distribution,diet,conservation_status
38,Ashy Storm Petrel,,Oceanodroma homochroa,Procellariiformes - Bộ Hải Âu,Hydrobatidae - Họ Hải yến,"Ashy Storm Petrel là một loài chim biển thuộc bộ Procellariiformes và họ Hydrobatidae. Chim có kích thước nhỏ, khoảng 18-20 cm chiều dài. Lông chim có màu xám nhạt trên lưng và cánh, mặt dưới lông có màu trắng. Mỏ của chim màu đen và chân có màu hồng nhạt.","Ashy Storm Petrel có phạm vi phân bố rải rác trong các vùng biển thuộc Đại Tây Dương và Thái Bình Dương. Chúng thường sinh sống ở vùng biển xa bờ, đặc biệt gần các hòn đảo và bãi đá.","Ashy Storm Petrel ăn chủ yếu các loại động vật nhỏ như cá nhỏ, giun, và các sinh vật biển nhỏ khác. Chúng thường săn mồi trên mặt nước biển và cũng có thể dùng mỏ để lọc lấy plankton.
",Least Concern - Ít quan tâm
39,Ashy Thrushbird,,Zizicola cinerea,Passeriformes - Bộ Sẻ,Furnariidae - Họ chim sẻ mỏ cong,"Ashy Thrushbird là một loài chim thuộc bộ Passeriformes và họ Furnariidae. Chim có kích thước trung bình, khoảng 15-16 cm chiều dài. Lông chim có màu xám trên lưng và cánh, mặt dưới lông có màu nhạt hơn. Chim có mỏ hơi cong và chân màu đen.","Ashy Thrushbird có phạm vi phân bố chủ yếu tại khu vực Nam Mỹ, bao gồm các quốc gia như Argentina, Bolivia, Paraguay và Brazil. Chúng thường sinh sống trong các khu rừng, cánh đồng và vùng cây bụi.
","Ashy Thrushbird ăn chủ yếu các loại côn trùng như kiến, gián, châu chấu và các loại mồi nhỏ khác. Chúng thường săn mồi trên mặt đất hoặc trong lớp lá cây và cành cây.",Least Concern - Ít quan tâm
40,Asian Crested Ibis,Cò quăm mào,Nipponia nippon,Pelecaniformes - Bộ Bồ nông,Threskiornithidae - Họ chim diệc,"Asian Crested Ibis là một loài chim lớn, có kích thước khoảng 75-80 cm chiều dài. Chim có lông trắng với mảng đen trên đỉnh đầu và sau cổ, cánh dài và chân màu đỏ. Chim trưởng thành có một mào dài trên đỉnh đầu, trong khi chim non và chim cái có mào ngắn hơn.","Asian Crested Ibis có phạm vi phân bố chủ yếu ở khu vực Đông Á, bao gồm Trung Quốc, Hàn Quốc, Nhật Bản và Nga. Chúng thường sinh sống trong các vùng đồng cỏ, đồng cỏ lầy, ao rừng và hồ nước.","Asian Crested Ibis chủ yếu ăn động vật thủy sinh như cá, ếch, giun và động vật phù du khác. Chúng cũng có thể săn mồi trên mặt đất, bao gồm côn trùng và động vật không xương sống nhỏ.",Endangered - Nguy cấp
41,Asian Dollarbird,Yểng quạ,Eurystomus orientalis,Coraciiformes - Bộ Sả,Coraciidae - Họ Sả rừng,"Asian Dollarbird là một loài chim kích thước trung bình. Chim có mỏ dài, màu đen và mạnh mẽ. Lông của chim đực và chim cái có sự khác biệt. Chim đực có lưng và cánh màu xanh đậm, đầu và ngực màu xám xanh và bụng màu đen. Chim cái có lưng và cánh màu nâu xám, đầu và ngực màu xám xanh nhạt và bụng màu trắng với đốm đen.","Chim Dollarbird châu Á phân bố rộng rãi trong khu vực Đông Á và Đông Nam Á, bao gồm Ấn Độ, Trung Quốc, Đông Dương, Indonesia và các quốc gia khác trong khu vực này. Chúng thường được tìm thấy trong các khu rừng, vùng cây bụi và khu vực nông thôn.","Loài chim này chủ yếu ăn côn trùng, bao gồm bọ cạp, chuồn chuồn, châu chấu và đom đóm. Chúng thường săn bắt con mồi trong không khí và trên các cành cây.",Least Concern - Ít quan tâm
42,Asian Green Bee-eater,Trảu đầu hung,Merops orientalis,Coraciiformes - Bộ Sả,Meropidae - Họ Trảu,"Asian Green Bee-eater là một loài chim nhỏ có kích thước trung bình. Chúng có mỏ dài, sắc nhọn và mắt to. Chim đực và chim cái có sự tương đồng về ngoại hình. Lông của chim chủ yếu màu xanh lá cây, cổ màu vàng nhạt, và có lông xanh nhạt trên ngực. Chúng có đuôi dài và sải cánh lớn.","Asian Green Bee-eater phân bố rộng rãi ở khu vực châu Á, từ Ấn Độ, Đông Nam Á cho đến Trung Quốc và Đài Loan. Chúng thường được tìm thấy trong các khu vực mở, vùng đồng cỏ, đồng cỏ ven sông, và khu vực nông thôn.
","Loài chim này chủ yếu ăn các loài ong, đặc biệt là ong mật. Chúng thường săn bắt ong trên không, bay nhanh và linh hoạt để bắt kịp con mồi trong không khí.",Least Concern - Ít quan tâm
43,Asian Openbill Stork,Cò nhạn,Anastomus oscitans,Ciconiiformes - Bộ Hạc,Ciconiidae - Họ Hạc,"Asian Openbill Stork là một loài chim cỡ trung bình có chiều dài khoảng 75-90cm. Chúng có mỏ hở, nghĩa là mỏ trên và dưới không khít hoàn toàn khi đóng lại. Lông của chim chủ yếu màu xám hoặc xám nâu, đuôi màu đen. Đôi cánh dài và chân màu đen.","Loài chim này có phạm vi phân bố rộng rãi ở khu vực Đông Á và Đông Nam Á, bao gồm Ấn Độ, Nepal, Sri Lanka, Myanma, Thái Lan, Việt Nam, Campuchia, Lào và miền nam Trung Quốc. Chúng thường sống trong các khu vực đầm lầy, đồng cỏ, ao rừng và vùng ngập nước.",Chủ yếu ăn ốc nước ngọt và sò. Chúng sử dụng mỏ hở để mở các loài ốc vỏ mềm và truyền thức ăn vào miệng.,Least Concern - Ít quan tâm
44,Auckland Shag,,Leucocarbo colensoi,Suliformes - Bộ Chim điên,Phalacrocoracidae - Họ Cốc,"Auckland Shag là một loài chim cò trung bình kích thước, với chiều dài khoảng 65-70 cm. Lông chim có màu xám đậm và đầu cổ màu đen. Chim trưởng thành có một mảng lông trắng ở gáy.",Loài này là đặc hữu của New Zealand và phân bố chủ yếu ở vùng Auckland và các hòn đảo xung quanh.,"Auckland Shag thường săn mồi trong nước, ăn các loại cá, giun, ếch và các động vật thủy sinh khác. Chúng thường đậu trên cây gần mặt nước và nhảy xuống nước để bắt mồi.",Least Concern - Ít quan tâm
45,Austral Canastero,,Asthenes anthoides,Passeriformes - Bộ Sẻ,Furnariidae - Họ chim sẻ mỏ cong,"Austral Canastero là một loài chim thuộc họ Furnariidae. Chim có kích thước trung bình, chiều dài khoảng 16-18 cm. Lông chim có màu nâu xám trên lưng và đuôi, cổ và ngực có màu trắng với các đốm nhỏ màu nâu. Chim cái có màu lông tương tự như chim đực nhưng mờ hơn.","Loài chim này phân bố chủ yếu ở Nam Mỹ, trong khu vực núi cao ở Argentina, Chile và Bolivia.",Austral Canastero thường ăn côn trùng và các loại mồi nhỏ khác như nhện và động vật không xương sống nhỏ.,Least Concern - Ít quan tâm
46,Australasian Figbird,,Sphecotheres vieilloti,Passeriformes - Bộ Sẻ,Oriolidae - Họ Vàng anh,"Australasian Figbird là một loài chim trong họ Oriolidae. Chim đực có màu lông đặc trưng với đầu và lưng màu xám xanh, cổ và ngực màu hồng sáng, và bụng màu vàng cam. Chim cái có lông nhạt hơn với màu xám và vàng cam nhạt.","Loài chim này phân bố ở khu vực châu Á, Đông Nam Á và châu Đại Dương, bao gồm Australia, Indonesia, Papua New Guinea và các quần đảo lân cận.","Australasian Figbird chủ yếu ăn trái cây, đặc biệt là trái cây đàn hương và các loại trái mọng khác.",Least Concern - Ít quan tâm
47,Avadavat,Chim Mai hoa,Amandava amandava,Passeriformes - Bộ Sẻ,Estrildidae - Họ Chim di,"Avadavat là một nhóm loài chim thuộc họ Estrildidae. Chúng có kích thước nhỏ, dễ nhận biết bởi màu lông tươi sáng và đuôi dài. Chim đực thường có màu sắc nổi bật, thường là đỏ, cam hoặc vàng, trong khi chim cái có lông mờ hơn và không có màu sắc tươi sáng.","Avadavat phân bố rộng khắp ở châu Á, từ Ấn Độ, Đông Nam Á, Trung Quốc, đến vùng Đông Siberia. Một số loài Avadavat đã được giới nhập khẩu và du nhập vào các khu vực khác trên thế giới.","Chế độ ăn của Avadavat chủ yếu bao gồm hạt cỏ, hạt cây cỏ, các loại hạt nhỏ, cũng như côn trùng và một số thức ăn nhỏ khác.",Least Concern - Ít quan tâm
48,Azara's Spinetail,,Synallaxis azarae,Passeriformes - Bộ Sẻ,Furnariidae - Họ chim sẻ mỏ cong,"Azara's Spinetail là một loài chim thuộc họ Furnariidae. Chim có kích thước trung bình, thân hình dẹp và đuôi dài. Mảng màu lông chủ yếu là màu nâu với phần dưới nhạt hơn. Chim có mỏ và chân màu nâu đen.","Azara's Spinetail phân bố rộng rãi trong các khu vực từ Nam Mỹ đến Trung Mỹ, bao gồm Argentina, Bolivia, Brasil, Paraguay, Uruguay và các quốc gia Trung Mỹ như Costa Rica và Panama.","Chế độ ăn của Azara's Spinetail chủ yếu bao gồm côn trùng, bọ cạp và các loài giun đất. Chúng thường săn mồi trên mặt đất hoặc trong các tầng thấp của cây cối.",Least Concern - Ít quan tâm
49,Azure-breasted Pitta,Chim Đuôi cụt ngực thiên thanh,Pitta steerii,Passeriformes - Bộ Sẻ,Pittidae - Họ Đuôi cụt,"Azure-breasted Pitta là một loài chim thuộc họ Pittidae. Chim có kích thước nhỏ, khoảng 15-17 cm. Chim đực có lưng màu xanh lục, ngực và bụng màu xanh ngọc lam rực rỡ, cánh và đuôi màu đen. Chim cái có màu lông tương tự nhưng nhạt hơn và không có màu xanh ngọc lam ở ngực.","zure-breasted Pitta phân bố ở khu vực Đông Nam Á, bao gồm các quốc gia như Thái Lan, Malaysia, Indonesia và Philippines. Chúng thường sống trong các khu rừng nhiệt đới ẩm ướt và rừng ngập mặn.","Chế độ ăn của Azure-breasted Pitta chủ yếu bao gồm côn trùng, giun đất, ấu trùng và các loài không xương sống nhỏ khác. Chúng thường săn mồi trên mặt đất, di chuyển chậm và cẩn thận để bắt những con mồi nhỏ.",Vulnerable -  Bị đe doạ
50,Azure Jay,Chim Sẻ Đuôi Xanh,Cyanocorax caeruleus,Passeriformes - Bộ Sẻ,Corvidae - Họ Quạ,"Azure Jay là một loài chim thuộc họ Corvidae. Chim có kích thước trung bình, khoảng 30-35 cm. Chim có lưng và cánh màu xanh da trời rực rỡ, đầu và cổ màu đen, ngực và bụng màu xanh lam. Chim cái có màu lông tương tự nhưng nhạt hơn và không có màu đen ở đầu và cổ.","Azure Jay phân bố chủ yếu ở khu vực Trung và Nam Mỹ, bao gồm các quốc gia như Brasil, Bolivia và Paraguay. Chúng thường sinh sống trong các khu rừng đất thấp và rừng ngập mặn.","Chế độ ăn của Azure Jay bao gồm hạt, quả, sát trùng, tang trạch và thức ăn thực vật khác. Chúng ta cũng có thể ăn một số loài chim nhỏ hoặc ăn xác động vật. ",Least Concern - Ít quan tâm
51,Azure Tanager,Chim cúc xanh,Chim cúc xanh,Passeriformes - Bộ Sẻ,Thraupidae,"Azure Tanager là một loài chim thuộc họ Thraupidae. Chim đực có màu lông đặc trưng với lưng, đầu và cánh màu xanh lam sáng. Mặt dưới và bụng của chim có màu vàng cam. Chim cái có màu lông nhạt hơn với màu xanh lam nhạt ở lưng và màu vàng nhạt ở mặt dưới.","Azure Tanager phân bố ở khu vực Trung và Nam Mỹ, bao gồm các quốc gia như Colombia, Ecuador, Peru và Bolivia. Chúng thường được tìm thấy trong rừng nhiệt đới ẩm ướt và khu vực rừng đồng cỏ.","Chế độ ăn của Azure Tanager chủ yếu bao gồm trái cây, mật hoa, côn trùng và một số loại hạt. Chúng thường di chuyển trong nhóm nhỏ để tìm kiếm thức ăn trên các cành cây.",Least Concern - Ít quan tâm
52,Azure Tit,Chim bạc má,Cyanistes cyanus,Passeriformes - Bộ Sẻ,Paridae - Họ Bạc má,"Azure Tit là một loài chim nhỏ, có chiều dài khoảng 11-12 cm. Chim đực có lưng màu xanh lá cây đậm, đầu và ngực màu xanh lam đậm. Chim cái có màu sắc tương tự nhưng nhạt hơn. Chim trưởng thành có mào đen trên đỉnh đầu và hai bên má. Lông cánh và đuôi của chim có màu đen.","Azure Tit phân bố ở các khu vực rừng cây thường xanh và rừng hỗn hợp châu Âu và Tây Á, bao gồm miền nam và trung bộ của châu Âu, và từ phía tây của Nga đến phía đông của Trung Quốc và Mông Cổ.","Loài chim này chủ yếu ăn hạt, như hạt cây, hạt thông, hạt dẻ và hạt cải. Ngoài ra, chúng cũng ăn một số loại côn trùng và nhện nhỏ.",Least Concern - Ít quan tâm
53,Baikal Teal,Mòng két Baikal,Sibirionetta formosa,Anseriformes - Bộ Ngỗng,Anatidae - Họ Vịt,"Baikal Teal là một loài vịt nhỏ với kích thước khoảng 40-46 cm. Chim đực có bộ lông đặc trưng với đầu và cổ màu xanh ngọc, lưng màu nâu đậm và bụng màu trắng. Chim cái có màu lông nhạt hơn và không có màu xanh ngọc trên đầu.","Baikal Teal sinh sống chủ yếu tại vùng Bắc Á, đặc biệt là ở Siberia, Mông Cổ, Trung Quốc và Nhật Bản. Chúng thường di cư từ khu vực đông bắc Siberia xuống phía nam trong mùa đông.","Loài chim này ăn chủ yếu các loại thực vật như hạt cỏ, lá, rễ và một số loài côn trùng nước nhỏ.",Least Concern - Ít quan tâm
54,Bald eagle,Đại bàng đầu trắng,Haliaeetus leucocephalus,Accipitriformes - Bộ Ưng,Accipitridae - Họ Ưng,"Bald Eagle là một loài chim ưng lớn với kích thước trung bình khoảng 70-90 cm và cánh có sải rộng. Chim trưởng thành có đầu trắng, thân lưng và cánh màu nâu đen, và đuôi màu trắng. Chim non và chim cái có lông màu nâu đậm trên toàn bộ cơ thể. Đặc trưng đáng chú ý của loài này là mỏ và móng rất mạnh.","Bald Eagle phân bố chủ yếu ở Bắc Mỹ, từ Alaska và Canada xuống phía nam đến Mỹ, Mexico và Bắc Trung Mỹ. Chúng thường sinh sống gần các khu vực nước ngọt và bờ biển, trong rừng và khu vực đồng cỏ.","Loài chim này chủ yếu ăn cá và các loại động vật sống trong môi trường nước, bao gồm cá, tôm, cua và các loại chim và thú nhỏ khác.",Least Concern - Ít quan tâm
